place name,category,city,link
Bahia City Hôtel,Hotel,Agadir,https://www.google.com/maps/place/Bahia+City+H%C3%B4tel/data=!4m10!3m9!1s0xdb3b6edc7bb0567:0xd177e175ce1bcdb5!5m2!4m1!1i2!8m2!3d30.4221807!4d-9.6029079!16s%2Fg%2F1tfw4d70!19sChIJZwW7x-22sw0Rtc0bznXhd9E?authuser=0&hl=fr&rclk=1
Appart Hotel Tagadirt,Hotel,Agadir,https://www.google.com/maps/place/Appart+Hotel+Tagadirt/data=!4m10!3m9!1s0xdb3b6faad21464f:0x9557bb0212825b3b!5m2!4m1!1i2!8m2!3d30.4146552!4d-9.6005377!16s%2Fg%2F11b67r813s!19sChIJT0Yhrfq2sw0RO1uCEgK7V5U?authuser=0&hl=fr&rclk=1
Apart’Hotel Intouriste,Hotel,Agadir,https://www.google.com/maps/place/Apart%E2%80%99Hotel+Intouriste/data=!4m10!3m9!1s0xdb3b700c1f39fa3:0xb70414ea08214491!5m2!4m1!1i2!8m2!3d30.4003493!4d-9.5912592!16s%2Fg%2F1tgl_bk8!19sChIJo5_zwQC3sw0RkUQhCOoUBLc?authuser=0&hl=fr&rclk=1
Hôtel Club Al Moggar,Hotel,Agadir,https://www.google.com/maps/place/H%C3%B4tel+Club+Al+Moggar/data=!4m10!3m9!1s0xdb3b68beae86467:0xad51c84bd4b853c8!5m2!4m1!1i2!8m2!3d30.4224028!4d-9.6091829!16s%2Fg%2F11c1x4lrhd!19sChIJZ2To6ou2sw0RyFO41EvIUa0?authuser=0&hl=fr&rclk=1
Hotel Royal Mirage,Hotel,Agadir,https://www.google.com/maps/place/Hotel+Royal+Mirage/data=!4m10!3m9!1s0xdb3b6eef3f5e33d:0x1fc5d5e255b44065!5m2!4m1!1i2!8m2!3d30.4192892!4d-9.6040394!16s%2Fg%2F113j8j5my!19sChIJPeP18-62sw0RZUC0VeLVxR8?authuser=0&hl=fr&rclk=1
Anezi Tower Hotel,Hotel,Agadir,https://www.google.com/maps/place/Anezi+Tower+Hotel/data=!4m10!3m9!1s0xdb3b6efddc9acb3:0x81466ac2635b52ce!5m2!4m1!1i2!8m2!3d30.416667!4d-9.6009087!16s%2Fg%2F11h1sg8x6!19sChIJs6zJ3e-2sw0RzlJbY8JqRoE?authuser=0&hl=fr&rclk=1
Omega Hotel,Hotel,Agadir,https://www.google.com/maps/place/Omega+Hotel/data=!4m10!3m9!1s0xdb3b7068f5529f9:0x8c64c33d26929ec4!5m2!4m1!1i2!8m2!3d30.3989899!4d-9.591905!16s%2Fg%2F11f0_cvhr4!19sChIJ-SlVjwa3sw0RxJ6SJj3DZIw?authuser=0&hl=fr&rclk=1
Hôtel Timoulay & Spa Agadir,Hotel,Agadir,https://www.google.com/maps/place/H%C3%B4tel+Timoulay+%26+Spa+Agadir/data=!4m10!3m9!1s0xdb3b70692034f89:0x8baae774d790f3e9!5m2!4m1!1i2!8m2!3d30.3968865!4d-9.5938759!16s%2Fg%2F1tdx5h3n!19sChIJiU8Dkga3sw0R6fOQ13Tnqos?authuser=0&hl=fr&rclk=1
Hotel Riu Palace Tikida Agadir,Hotel,Agadir,https://www.google.com/maps/place/Hotel+Riu+Palace+Tikida+Agadir/data=!4m10!3m9!1s0xdb3b702f27d6b61:0x423f9db8a9874b07!5m2!4m1!1i2!8m2!3d30.4080915!4d-9.5990708!16s%2Fg%2F12lkn6hy5!19sChIJYWt98gK3sw0RB0uHqbidP0I?authuser=0&hl=fr&rclk=1
Dunes d'Or Ocean Club,Hotel,Agadir,https://www.google.com/maps/place/Dunes+d%27Or+Ocean+Club/data=!4m10!3m9!1s0xdb3b6fd4f5f5ebb:0x7259d5dbf2d62f89!5m2!4m1!1i2!8m2!3d30.4057411!4d-9.6001687!16s%2Fg%2F1hm3h324s!19sChIJu15fT_22sw0RiS_W8tvVWXI?authuser=0&hl=fr&rclk=1
Sofitel Agadir Thalassa sea & spa,Hotel,Agadir,https://www.google.com/maps/place/Sofitel+Agadir+Thalassa+sea+%26+spa/data=!4m10!3m9!1s0xdb3b70f62decb2f:0xe003db929e7cb7c3!5m2!4m1!1i2!8m2!3d30.391594!4d-9.598151!16s%2Fg%2F1jkwjq3cr!19sChIJL8veYg-3sw0Rw7d8npLbA-A?authuser=0&hl=fr&rclk=1
